"","main_category","state","backers","country","usd_pledged_real","usd_goal_real","date_diff"
"28",7,1,571,4,42174.03,15313.04,30
"29",2,1,27,10,160.6,142.91,30
"31",8,0,1,10,31.09,5181.12,30
"34",1,0,30,22,1395,25000,40
"36",7,0,54,22,1373.37,10000,30
"48",7,1,154,22,9401,8000,30
"67",15,1,144,22,15425,15000,60
"70",3,0,1,10,3.09,7716.41,30
"77",6,0,0,22,0,68000,30
"92",2,0,14,22,474,4289,45
"104",5,0,4,22,156,500,30
"120",7,0,4,22,270,20000,30
"125",8,0,0,22,0,20000,29
"144",5,0,0,10,0,803.32,30
"145",6,0,1,22,25,2500,30
"169",1,0,2,22,2,1200,45
"195",14,1,24,16,2739.22,2658.03,32
"227",8,1,52,22,2164.77,2000,38
"231",8,1,161,22,30066,25000,35
"232",13,3,1,22,25,15000,21
"257",8,0,2,22,50,22500,30
"266",11,1,195,22,11713,10000,30
"273",9,0,3,22,45,800,60
"281",7,1,43,22,3585,3500,31
"286",14,1,2278,22,227673,25000,45
"301",7,0,8,22,171,9000,40
"305",10,1,33,22,1804,1500,26
"317",8,1,17,10,524.38,385.58,30
"326",8,1,172,22,25816,25000,30
"330",7,1,17,2,649.89,192.96,25
"342",8,1,145,22,15018,15000,30
"352",11,1,138,22,7453,7000,28
"357",11,0,4,22,130,15000,50
"377",14,0,0,4,0,31343.05,60
"391",13,0,1,10,17.98,49034.03,30
"404",8,0,0,10,0,24051.18,45
"409",2,0,6,22,320,60000,60
"411",5,1,2789,22,87207.5,18000,35
"416",7,0,44,22,2935,10000,40
"434",12,0,27,22,797,3000,16
"445",11,0,4,22,200,3000,34
"446",15,0,21,22,1810,6500,45
"447",1,0,0,22,0,4000,15
"453",13,1,51,22,2522,2000,40
"475",11,0,0,22,0,2000,30
"476",9,1,1258,22,20709.5,10200,30
"484",1,0,0,22,0,1000,30
"494",6,3,29,22,1525,50000,30
"504",8,0,4,2,38.98,637.89,30
"505",15,0,0,22,0,5000,25
"509",1,3,1,22,50,7000,30
"510",7,1,66,22,11001,5500,23
"522",1,0,12,22,660,2500,30
"530",11,0,0,22,0,500,30
"533",11,1,9,4,18.12,0.91,30
"542",11,1,694,22,61315,57000,22
"545",1,2,0,16,0,52.32,16
"557",7,0,0,22,0,1500,30
"568",7,0,7,22,1041,62700,60
"572",13,1,18,22,950.01,500,21
"573",1,1,14,22,1100,1000,20
"583",14,0,1,22,50,150000,30
"604",7,0,1,22,1,3500,33
"615",2,1,29,22,1100.65,1000,30
"634",11,0,14,22,1310,5500,18
"638",2,0,3,22,12,3000,60
"641",1,0,9,22,313,750,30
"643",14,1,12758,22,1374021,30000,30
"661",1,1,62,22,2820,2750,43
"665",11,0,1,4,0.81,343712.09,56
"668",6,0,8,22,216,10000,29
"671",6,0,5,22,585,5000,30
"674",2,0,8,22,250,9000,90
"685",1,3,2,22,10,6907,30
"707",13,0,4,3,183.76,5535.01,30
"716",9,3,5,4,49.83,389.29,32
"726",9,0,59,22,3351,30000,30
"731",14,0,3,22,7,4000,15
"733",8,1,285,22,10752,9500,31
"735",7,1,411,22,45155,40000,33
"740",14,1,164,22,30126,9000,33
"742",2,1,84,10,1693.27,1509.6,33
"751",11,0,2,10,92.23,3952.67,30
"762",7,0,1,22,200,4000,26
"770",6,0,4,22,110,20000,30
"775",11,1,24,22,5475,5000,37
"777",7,0,1,22,25,1e+06,60
"780",1,1,11,22,702,700,9
"783",9,1,24,22,198,60,30
"788",14,3,21,22,446,60000,36
"793",1,1,43,22,1671,1400,30
"798",13,0,7,22,200,800,6
"813",7,1,59,4,1766.97,1749.48,30
"822",7,3,10,22,281,125000,45
"839",11,0,4,22,41,1000,40
"843",14,2,9,22,225,3100,45
"853",5,1,600,22,52837.51,43000,37
"854",6,1,77,22,5189,2000,30
"861",4,1,97,22,5255,5000,30
"898",6,3,0,22,0,9500,38
"910",8,0,1,22,100,5000,30
"911",11,0,1,22,1,10000,22
"923",7,1,106,22,11610,10000,17
"925",7,0,26,22,3355,20000,33
"937",8,1,117,22,40062,30000,36
"964",15,0,4,22,110,1200,51
"965",1,0,4,10,143.3,778.79,30
"980",13,3,141,22,6353,30000,30
"990",6,1,79,6,39090.97,22720.04,30
"1007",7,0,189,22,20677,50000,45
"1009",5,1,115,22,19711,10000,40
"1022",5,1,854,22,103307.65,1e+05,33
"1031",8,1,75,22,28036,28000,30
"1047",13,1,111,22,2661.32,2000,30
"1057",8,3,0,2,0,654.34,60
"1058",8,0,3,22,149,3000,30
"1063",11,0,0,22,0,18000,51
"1071",11,0,59,22,10375,13000,45
"1084",5,0,24,4,375.67,444.05,17
"1093",13,1,17,22,2315,2000,21
"1136",7,3,1,22,5,150000,30
"1143",13,0,33,22,11974,50000,40
"1150",9,0,0,22,0,1000,30
"1162",5,0,269,22,14757,1e+05,30
"1163",10,0,62,10,2537.87,16869.64,30
"1166",5,0,0,22,0,50000,30
"1174",8,0,4,22,460,5000,31
"1181",12,0,7,22,1211,24850,31
"1182",1,1,138,22,9194,9000,30
"1191",6,0,0,22,0,900,60
"1199",14,3,79,22,48907,50000,48
"1200",9,0,2,22,56,15000,30
"1210",8,0,3,22,30,60000,60
"1221",13,0,4,22,170,2500,30
"1227",11,1,16,22,673.21,600,30
"1236",1,0,9,22,910,10000,30
"1244",1,0,7,22,322,2000,25
"1257",5,3,56,22,6074,36000,32
"1266",11,1,26,22,2570,2500,31
"1297",14,0,85,22,7697,50000,30
"1300",11,1,101,22,3682.93,2750,30
"1304",1,0,18,22,596,1800,40
"1317",1,1,7,22,507,500,30
"1319",11,0,8,22,181,25000,30
"1335",9,1,966,22,39557.16,1500,28
"1337",13,0,5,5,16.47,4117.56,30
"1345",5,3,52,10,8099.42,34301.39,31
"1394",1,0,2,22,6,20000,30
"1407",1,0,2,4,4.99,415.45,30
"1419",5,0,13,22,495,25000,33
"1428",14,2,6,22,464,1500,30
"1432",7,1,23,22,5130,5000,30
"1440",14,0,40,9,2474.19,27725.1,30
"1444",7,0,0,10,0,311.09,15
"1452",5,1,97,10,6811.34,4182.84,35
"1455",12,0,2,2,145.3,50853.61,60
"1458",7,0,3,22,61,10000,40
"1468",12,0,0,4,0,4043.67,30
"1476",11,0,12,22,450,5000,27
"1478",5,0,1,22,35,8000,30
"1512",12,0,1,22,25,1e+05,30
"1516",2,1,189,22,12577,500,30
"1518",9,0,152,4,3472.74,22309.61,30
"1550",12,0,4,22,262,9000,30
"1572",11,1,32,10,754.56,81.37,22
"1605",9,1,235,6,7170.65,5480.47,29
"1618",14,3,0,22,0,200,7
"1652",8,1,76,22,4410,4200,44
"1660",7,0,16,22,1488,54000,30
"1661",11,0,0,22,0,2000,28
"1674",3,1,2,10,120,17.14,15
